question,correct_answer,zero_shot_answer,zero_shot_correct,zero_shot_inference_time,cot_answer,cot_correct,cot_inference_time,react_answer,react_correct,react_inference_time
"Let V be the real vector space of all real 2 x 3 matrices, and let W be the real vector space of all real 4 x 1 column vectors. If T is a linear transformation from V onto W, what is the dimension of the subspace kernel of T?",2 1,2 1,True,1.5746 seconds,2 1,True,0.3297 seconds,2 1,True,6.1081 seconds
Statement 1 |  Suppose ∑|a_i| diverges and ∑ a_i = 2. There is a rearrangement a_i_k of the terms such that ∑ a_i_k = 4. Statement 2 | There exists metric spaces X and Y with X closed and bounded and a continuous mapping f : X → Y such that f(X) is NOT “closed and bounded”.,"True, True 1","False, False 1",False,2.9140 seconds,"False, True 1",False,2.6166 seconds,"True, True 1",True,9.8075 seconds
The maximum number of acute angles in a convex 10-gon in the Euclidean plane is,3 1,,False,0.0433 seconds,3 1,True,1.1057 seconds,3 1,True,3.4704 seconds
"If f(z) is an analytic function that maps the entire finite complex plane into the real axis, then the imaginary axis must be mapped onto",a point 1,a point 1,True,0.3739 seconds,a point 1,True,2.8224 seconds,a point 1,True,9.4237 seconds
"A group G in which (ab)^2 = a^2b^2 for all a, b in G is necessarily",abelian 1,abelian 1,True,2.7562 seconds,cyclic 1,False,2.9220 seconds,abelian 1,True,6.4499 seconds
"If f is a continuously differentiable real-valued function defined on the open interval (-1, 4) such that f(3) = 5 and f'(x) ≥ -1 for all x, what is the greatest possible value of f(0)?",8 1,,False,2.4301 seconds,4 1,False,1.0907 seconds,3 1,False,7.4482 seconds
"Suppose A and B are n × n matrices with real entries. Which of the follow are TRUE?
I. The trace of A^2 is nonnegative.
II. If A^2 = A, then the trace of A is nonnegative.
III. The trace of AB is the product of the traces of A and B.",II only 1,I and II only 1,False,1.1442 seconds,II only 1,True,1.5399 seconds,II only 1,True,6.4682 seconds
What is the units digit in the standard decimal expansion of the number 7^25?,7 1,7 1,True,1.8207 seconds,,False,1.6039 seconds,5 1,False,5.0996 seconds
"Statement 1 | f : X → Y is continuous and X is compact. f must be uniformly continuous. Statement 2 | If f(x), g(x) : R → R are everywhere differentiable f(g(x)) must be everywhere differentiable.","True, True 1","True, True 1",True,1.5054 seconds,"True, True 1",True,0.0576 seconds,"True, True 1",True,3.7752 seconds
The region bounded by the curves y = x and y = x^2 in the first quadrant of the xy-plane is rotated about the y-axis. The volume of the resulting solid of revolution is,π/6 1,π/6 1,True,2.6189 seconds,π/6 1,True,2.0241 seconds,,False,6.4934 seconds
"In the xy-plane, the curve with parametric equations x = cos t and y = sin t, 0 <= t <= pi, has length",pi 1,pi 1,True,0.8830 seconds,pi 1,True,1.1847 seconds,pi 1,True,3.8313 seconds
"Which of the following are valid intervals of convergence for a power series?
(I) [−1, 3)
(II) (−∞, 0]
(III) [2, 2] ∪ [3, 3]
(IV) (−∞,∞)",(I) and (IV ) 1,(I) and (IV ) 1,True,1.3669 seconds,Only (II) 1,False,1.5386 seconds,Only (II) 1,False,5.7640 seconds
"If f: R -> R is a bounded function that is Lebesgue integrable, then which of the following must be true?",None of the above. 1,None of the above. 1,True,1.6279 seconds,None of the above. 1,True,2.8230 seconds,None of the above. 1,True,4.0126 seconds
"In the xy-plane, the graph of x^(log y) = y^log x is",the open first quadrant 1,the open first quadrant 1,True,0.8246 seconds,the open first quadrant 1,True,2.9843 seconds,a single point 1,False,8.1501 seconds
For which p is the norm ||x||_p expressable as an inner product?,2 1,2 1,True,0.4655 seconds,2 1,True,2.4211 seconds,infinity 1,False,8.2195 seconds
"Let S be a compact topological space, let T be a topological space, and let f be a function from S onto T. Of the following conditions on f, which is the weakest condition sufficient to ensure the compactness of T?",f is continuous. 1,f is continuous. 1,True,2.3874 seconds,f is continuous. 1,True,0.4289 seconds,f is a homeomorphism. 1,False,3.4344 seconds
What is the area of an equilateral triangle whose inscribed circle has radius 2?,12*sqrt(3) 1,16*sqrt(3) 1,False,2.8182 seconds,12*sqrt(3) 1,True,2.2327 seconds,16*sqrt(3) 1,False,9.8216 seconds
For which value of n are there exactly two abelian groups of order n up to isomorphism?,4 1,,False,1.1595 seconds,4 1,True,0.3798 seconds,8 1,False,7.0540 seconds
"Which of the following is not always true for x, y, z ∈ R^k?",|x + y| = |x| + |y| 1,|x + y| = |x| + |y| 1,True,2.7623 seconds,|x + y| = |x| + |y| 1,True,1.7783 seconds,,False,3.8223 seconds
"Let V be the vector space, under the usual operations, of real polynomials that are of degree at most 3. Let W be the subspace of all polynomials p (x) in V such that p (0) = p(1) = p(-1) = 0. Then dim V + dim W is",5 1,5 1,True,1.0964 seconds,5 1,True,1.8877 seconds,5 1,True,6.0931 seconds
"If V and W are 2-dimensional subspaces of R^4 ,what are the possible dimensions of the subspace V intersect W?","0, 1, and 2 only 1","0, 1, and 2 only 1",True,1.7259 seconds,"0, 1, and 2 only 1",True,2.1970 seconds,1 only 1,False,3.6219 seconds
"The curves y = (sin x + cos x)^4 and y = (sin x - cos x)^4 intersect at x = 0. If a is the smallest positive value of x at which these curves next intersect, determine the area between these curves from x = 0 to x = a.",4 1,4 1,True,0.0072 seconds,4 1,True,0.2431 seconds,3π/2 1,False,4.7705 seconds
"If f is a linear transformation from the plane to the real numbers and if f(1, 1) = 1 and f(-1, 0) = 2, then f(3, 5) =",9 1,0 1,False,2.4131 seconds,9 1,True,0.8849 seconds,9 1,True,6.9511 seconds
How many real roots does the polynomial 2x^5 + 8x - 7 have?,One 1,One 1,True,1.1634 seconds,Two 1,False,1.9381 seconds,None 1,False,8.2156 seconds
"A university’s mathematics department has 10 professors and will offer 20 different courses next semester. Each professor will be assigned to teach exactly 2 of the courses, and each course will have exactly one professor assigned to teach it. If any professor can be assigned to teach any course, how many different complete assignments of the 10 professors to the 20 courses are possible?",20!/2^(10) 1,,False,0.1093 seconds,20!/2^(10) 1,True,2.0157 seconds,,False,5.8100 seconds
Which of the following are true:,"It is possible to place an linear order relation ≤ on the complex numbers C such that (C, +, ×, ≤) is not an ordered field. 1","It is possible to place an linear order relation ≤ on the complex numbers C such that (C, +, ×, ≤) is not an ordered field. 1",True,0.6342 seconds,"It is possible to place an linear order relation ≤ on the complex numbers C such that (C, +, ×, ≤) is not an ordered field. 1",True,2.8354 seconds,"It is possible to place a linear order relation on the complex numbers C which make (C, +, ×, ≤) an ordered field. 1",False,7.9957 seconds
In a game two players take turns tossing a fair coin; the winner is the first one to toss a head. The probability that the player who makes the first toss wins the game is,2/3 1,2/3 1,True,0.8574 seconds,2/3 1,True,2.6840 seconds,1/2 1,False,8.9088 seconds
Which of the following is NOT a group?,The nonzero integers under multiplication 1,The nonzero integers under multiplication 1,True,1.4343 seconds,The nonzero integers under multiplication 1,True,2.2778 seconds,,False,6.9959 seconds
Let x and y be positive integers such that 3x + 7y is divisible by 11. Which of the following must also be divisible by 11?,4x - 9y 1,4x - 9y 1,True,2.0693 seconds,4x - 9y 1,True,0.8794 seconds,4x - 9y 1,True,8.6447 seconds
"What is the minimum value of the expression x + 4z as a function defined on R^3, subject to the constraint x^2 + y^2 + z^2 <= 2?",-sqrt(34) 1,-sqrt(34) 1,True,1.5390 seconds,-sqrt(34) 1,True,0.1360 seconds,-sqrt(34) 1,True,6.3224 seconds
"Let R be a ring and let U and V be (two-sided) ideals of R. Which of the following must also be ideals of R ?
I. {u + v : u \in and v \in V}
II. {uv : u \in U and v \in V}
III. {x : x \in U and x \in V}",I and III only 1,I and III only 1,True,1.8748 seconds,II only 1,False,1.3158 seconds,III only 1,False,7.6973 seconds
The region bounded by the x-axis and the function f(x) = x/(1 + x^3) is rotated about the x-axis. What is the volume of the solid generated?,π/3 1,π/3 1,True,2.7922 seconds,π/3 1,True,0.4542 seconds,π/3 1,True,5.3957 seconds
Suppose today is Wednesday. What day of the week will it be 10^(10^(10)) days from now?,Sunday 1,,False,2.0122 seconds,Tuesday 1,False,1.3265 seconds,Wednesday 1,False,5.5003 seconds
"Water drips out of a hole at the vertex of an upside down cone at a rate of 3 cm^3 per minute. The
cone’s height and radius are 2 cm and 1 cm, respectively. At what rate does the height of the water change
when the water level is half a centimeter below the top of the cone? The volume of a cone is V = (π/3)*r^2*h,
where r is the radius and h is the height of the cone.",−16/(3π) cm/min 1,−4/(3π) cm/min 1,False,1.8573 seconds,−16/(3π) cm/min 1,True,2.1710 seconds,−16/(3π) cm/min 1,True,9.1497 seconds
"Consider the system of linear equations
w + 3x + 2y + 2z = 0
w + 4x + y = 0
3w + 5x + 10 y + 14z = 0
2w + 5x + 5y + 6z = 0
with solutions of the form (w, x, y, z), where w x, y, and z are real. Which of the following statements is FALSE?","Every solution is a scalar multiple of (-5, 1, 1, 0). 1","Every solution is a scalar multiple of (-5, 1, 1, 0). 1",True,0.5478 seconds,The system has infinitely many solutions. 1,False,2.6584 seconds,The system has infinitely many solutions. 1,False,7.4807 seconds
"If c > 0 and f(x) = e^x - cx for all real numbers x, then the minimum value of f is",f(log c) 1,f(log c) 1,True,0.1142 seconds,f(1/c) 1,False,1.0688 seconds,f(c) 1,False,5.9193 seconds
"Suppose A is a 3 × 3 matrix such that det(A − λI) = −λ^3 + 3λ^2 + λ − 3, where I is the 3 × 3 identity matrix. Which of the following are TRUE of A?
I. The trace of A is 3.
II. The determinate of A is −3.
III. The matrix A has eigenvalues −3 and 1.",I and II only 1,I only 1,False,2.4372 seconds,III only 1,False,2.4706 seconds,I and II only 1,True,6.9746 seconds
Let y = f(x) be a solution of the differential equation x dy + (y - xe^x) dx = 0 such that y = 0 when x = 1. What is the value of f(2)?,e^2/2 1,2e 1,False,1.6430 seconds,e^2/2 1,True,1.5000 seconds,e^2/2 1,True,5.5936 seconds
"A fair coin is to be tossed 100 times, with each toss resulting in a head or a tail. If H is the total number of heads and T is the total number of tails, which of the following events has the greatest probability?",H >= 48 and T >= 48 1,H >= 48 and T >= 48 1,True,1.9174 seconds,H = 50 1,False,2.6584 seconds,,False,4.3938 seconds
"Statement 1 | Suppose f : [a, b] is a function and suppose f has a local maximum. f'(x) must exist and equal 0? Statement 2 | There exist non-constant continuous maps from R to Q.","False, False 1","False, False 1",True,2.4142 seconds,"False, False 1",True,1.3272 seconds,"True, True 1",False,7.1496 seconds
"Let I != A != -I, where I is the identity matrix and A is a real 2 x 2 matrix. If A = A^(-1), then the trace of A is",0 1,0 1,True,2.8275 seconds,-1 1,False,1.5814 seconds,-1 1,False,6.7629 seconds
"A total of x feet of fencing is to form three sides of a level rectangular yard. What is the maximum possible area of the yard, in terms of x ?",x^2/8 1,x^2/9 1,False,0.3928 seconds,,False,1.7048 seconds,x^2/8 1,True,8.0206 seconds
"Statement 1 | If A is connected, the closure of A must be connected. Statement 2 | Every continuous function f : (0, 1) → (0, 1) has a fixed point.","True, False 1","True, False 1",True,2.8277 seconds,"False, True 1",False,0.8310 seconds,"True, False 1",True,3.1674 seconds
Which of the following sets has the greatest cardinality?,"The set of all functions from R to {0, 1} 1","The set of all functions from R to {0, 1} 1",True,0.5051 seconds,The set of all functions from Z to Z 1,False,1.9237 seconds,The set of all functions from Z to Z 1,False,3.5051 seconds
"Let f(x) be a function whose graph passes through the origin. If f(2n) = n^2 + f[2(n - 1)] for every integer n, what is the value of f(8)?",30 1,30 1,True,1.6036 seconds,32 1,False,0.7247 seconds,30 1,True,4.1406 seconds
How many structurally distinct Abelian groups have order 72?,6 1,6 1,True,2.4672 seconds,6 1,True,1.8039 seconds,6 1,True,5.1336 seconds
"If the finite group G contains a subgroup of order seven but no element (other than the identity) is its own inverse, then the order of G could be",35 1,35 1,True,2.6113 seconds,35 1,True,2.9689 seconds,35 1,True,5.5827 seconds
"Let f(x, y) = x^3 + y^3 + 3xy for all real x and y. Then there exist distinct points P and Q such that f has a",local maximum at P and a saddle point at Q 1,local maximum at P and a saddle point at Q 1,True,1.5982 seconds,local maximum at P and a saddle point at Q 1,True,0.9911 seconds,local minimum at P and a saddle point at Q 1,False,4.0394 seconds
"If A is a subset of the real line R and A contains each rational number, which of the following must be true?","If A is closed, then A = R. 1","If A is closed, then A = R. 1",True,2.4545 seconds,"If A is closed, then A = R. 1",True,0.4105 seconds,"If A is closed, then A = R. 1",True,4.4378 seconds
Let M be a 5 x 5 real matrix. Exactly four of the following five conditions on M are equivalent to each other. Which of the five conditions is equivalent to NONE of the other four?,"For any two distinct column vectors u and v of M, the set {u, v} is linearly independent. 1","For any two distinct column vectors u and v of M, the set {u, v} is linearly independent. 1",True,2.4730 seconds,The system of equations Mx = b has a unique solution for each real 5 x 1 column vector b. 1,False,0.1520 seconds,,False,8.9643 seconds
How many positive numbers x satisfy the equation cos(97x) = x?,31 1,31 1,True,2.1809 seconds,15 1,False,2.9432 seconds,49 1,False,6.9931 seconds
For which of the following rings is it possible for the product of two nonzero elements to be zero?,"The ring of continuous real-valued functions on [0, 1] 1","The ring of continuous real-valued functions on [0, 1] 1",True,0.7812 seconds,The ring {a + b * sqrt(2) : a and b are rational numbers} 1,False,2.8881 seconds,"The ring of continuous real-valued functions on [0, 1] 1",True,9.3237 seconds
The map x -> axa^2 of a group G into itself is a homomorphism if and only if,a^3 = e 1,a^3 = e 1,True,0.3929 seconds,a^3 = e 1,True,2.0744 seconds,,False,3.6164 seconds
"If A is the 2 by 2 matrix whose (i, j) entry is equal to i + j, and B is the 3 by 3 matrix whose (i, j) entry is equal to i + j, find the value of the sum detA + detB.",-1 1,2 1,False,0.2641 seconds,,False,2.0773 seconds,0 1,False,9.9550 seconds
"If f : (0, 1) → (0, 1], then which of the following could be TRUE?
I. f is one-to-one and onto.
II. The image of f is compact.
III. f is continuous, one-to-one, and onto.",I and II only 1,I and II only 1,True,2.5095 seconds,I and II only 1,True,0.4830 seconds,,False,4.4680 seconds
"If a real number x is chosen at random in the interval [0, 3] and a real number y is chosen at random in the interval [0, 4], what is the probability that x < y?",5/8 1,5/8 1,True,0.5497 seconds,,False,1.9741 seconds,,False,3.4666 seconds
"The probability that a point (x, y) in R^2 is chosen follows a uniform random distribution within the region described by the inequality 0 < |x| + |y| < 1 . What is the probability that 2(x + y) > 1?",1/4 1,,False,1.8550 seconds,1/sqrt(2) 1,False,2.3125 seconds,1/4 1,True,5.4338 seconds
(1+i)^10 =,32i 1,32i 1,True,0.5944 seconds,i 1,False,2.3641 seconds,1 1,False,4.5741 seconds
"If U and V are 3-dimensional subspaces of R^5, what are the possible dimensions of U ∩ V?","1, 2, or 3 1","1, 2, or 3 1",True,2.4345 seconds,"1, 2, or 3 1",True,2.6487 seconds,"1, 2, or 3 1",True,8.2208 seconds
"Let S be the subset of R^2 consisting of all points (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are irrational. With respect to the standard topology on R^2, S is",connected 1,totally disconnected 1,False,1.7154 seconds,connected 1,True,0.1066 seconds,closed 1,False,5.4333 seconds
Which of the following circles has the greatest number of points of intersection with the parabola x^2 = y + 4 ?,x^2 + y^2 = 9 1,x^2 + y^2 = 9 1,True,0.1529 seconds,x^2 + y^2 = 9 1,True,0.7799 seconds,x^2 + y^2 = 9 1,True,9.0637 seconds
X is a finite set with the following property: The number of subsets of X that contain exactly 3 elements is 14 more than the number of subsets of X that contain exactly 2 elements. How many subsets of X contain exactly 4 elements?,35 1,,False,0.4259 seconds,28 1,False,1.2551 seconds,28 1,False,5.1950 seconds
"Let T: R^2 -> R^2 be the linear transformation that maps the point (1, 2) to (2, 3) and the point (-1, 2) to (2, -3). Then T maps the point (2, 1) to","(1, 6) 1","(1, 6) 1",True,2.0955 seconds,"(-4, 3) 1",False,1.7989 seconds,"(1, 6) 1",True,3.3491 seconds
